0.jpg,114,37,58,58,mentah
1.jpg,335,61,58,58,mentah
2.jpg,280,39,58,58,mentah
3.jpg,59,17,58,58,mentah
4.jpg,288,14,58,58,mentah
5.jpg,40,131,58,58,mentah
6.jpg,230,111,58,58,setengah-matang
7.jpg,163,62,58,58,setengah-matang
8.jpg,173,252,58,58,setengah-matang
9.jpg,232,183,58,58,setengah-matang
10.jpg,245,324,58,58,setengah-matang
11.jpg,68,260,58,58,mentah
12.jpg,111,163,58,58,mentah
13.jpg,178,203,58,58,mentah
14.jpg,103,225,58,58,mentah
15.jpg,55,198,58,58,mentah
16.jpg,244,415,58,58,setengah-matang
17.jpg,239,375,58,58,setengah-matang
18.jpg,183,442,58,58,mentah
19.jpg,113,272,58,58,mentah
20.jpg,182,305,58,58,mentah
21.jpg,184,356,58,58,mentah
22.jpg,232,464,58,58,mentah
23.jpg,163,148,58,58,setengah-matang
24.jpg,187,397,58,58,mentah
